lfq_intensity_lean_1	lfq_intensity_lean_2	lfq_intensity_lean_3	lfq_intensity_lean_4	lfq_intensity_ob_1	lfq_intensity_ob_2	lfq_intensity_ob_3	lfq_intensity_ob_4
Trmt1	26.9564132701326	26.9257649850481	26.9086924429785	27.2588416271203	26.5674326044622	26.5868907262536	25.9934501915695	26.2678103372412
Capns1	29.4713053792397	30.1552024292496	29.6976092374533	28.9529149935511	29.8846088876245	29.615365954656	30.2675666026337	30.6193526313375
Sdf2	28.7988856163902	28.7395034505637	28.4502561343061	27.6103266989378	28.3485661924503	28.0566598912454	28.7600191293922	28.8705959054067
Slc9a3r2	29.2909358013632	29.0453883869201	29.5032055129568	29.5228701533369	29.7312945950428	28.7180029757711	28.8886204787625	29.1533206469449
Thop1	28.8703813709836	29.167039338351	28.8276092517997	29.1900691618524	29.4494809802004	29.0615082932039	29.1347626798876	29.2265124797628
Cyp2d26	33.7142925412848	33.9575028399402	33.7538905643458	32.5721341129363	33.2330899473828	32.7720863468695	33.9566150152213	33.8509281837112
Dus3l	26.0966279521501	25.9124199121326	26.1402078847274	25.9306108974053	26.6887391714314	26.0436862221346	26.6945607511126	26.518489709903
Clec4f	28.8346727081378	29.4232102404325	29.2452539440093	30.0614496063113	28.9069092584441	29.0940847191754	28.6519722895774	28.6437587098198
Pald1	27.4090025442337	27.3506621806054	27.5790481844851	27.0513220753743	26.8273410441192	27.3731030869818	26.8757451863741	27.1556110131749
Hdac2	25.8257222855624	26.3687118880801	26.0014834832082	26.8614753639592	25.7616685822302	26.0829804802427	25.3456590584524	25.3958960346984
Abcc3	28.6860482872745	28.4200247220894	28.7501551022455	29.36866860109	29.3714012189794	29.9378468071524	29.0761894869861	29.7989656805889
Tpmt	30.4990050014971	31.0122616294071	30.7691371819502	30.6551420688765	30.0323685154801	30.4640591908214	30.6802532728713	31.3135869154096
Auh	29.9953720673733	30.0991608393373	30.2087168937704	30.1272232176961	29.8836678643125	30.3497890730759	29.4321390123369	29.6477613016312
C9	28.0489384375722	28.1311815882332	27.6327821976178	27.8006077260903	27.296991451148	26.8997592565935	27.125490914347	26.590476267802
Pdxdc1	29.3347817730547	29.4775519416746	29.573035320202	29.5599594903714	29.3136790918961	29.3736115314699	29.2723318191149	28.9218972999052
Kng1	31.3250007788207	31.2149736800235	31.1413898044362	32.2321874941162	31.9030251447847	31.7553472145342	30.8117942910393	31.1122032455726
Hrg	31.0811989377364	30.993063435555	30.4984437449449	31.0556317702561	31.1073366031922	30.650601836868	30.8993147310444	30.7977013032954
Bfar	26.9581190883689	26.7945024786144	26.365478413675	25.9880981399554	24.6443153495308	25.1597150429072	25.3125233826706	26.2933881423853
